,,,,,,,,,
Tag,,First weight date,,,,First Weight,,,Latest Weight Date
IE141949013098,,08/10/2025,,,,568.00,,,08/10/2025
IE141949022943,,08/10/2025,,,,604.00,,,08/10/2025
IE141949042945,,08/10/2025,,,,630.00,,,08/10/2025
IE141949062864,,08/10/2025,,,,660.00,,,08/10/2025
IE141949072931,,08/10/2025,,,,596.00,,,08/10/2025
IE141949072964,,08/10/2025,,,,608.00,,,08/10/2025
IE141949082973,,08/10/2025,,,,634.00,,,08/10/2025
IE141949092834,,08/10/2025,,,,590.00,,,08/10/2025
UK209357102781,,08/10/2025,,,,502.00,,,08/10/2025
UK209357102823,,08/10/2025,,,,580.00,,,08/10/2025
UK209357103138,,08/10/2025,,,,522.00,,,08/10/2025
UK209357103145,,08/10/2025,,,,534.00,,,08/10/2025
UK209357103152,,08/10/2025,,,,528.00,,,08/10/2025
UK209357103194,,08/10/2025,,,,512.00,,,08/10/2025
UK209357103509,,08/10/2025,,,,464.00,,,08/10/2025
UK209357103530,,08/10/2025,,,,422.00,,,08/10/2025
UK209357203139,,08/10/2025,,,,580.00,,,08/10/2025
UK209357203153,,08/10/2025,,,,472.00,,,08/10/2025
UK209357203160,,08/10/2025,,,,548.00,,,08/10/2025
UK209357203475,,08/10/2025,,,,466.00,,,08/10/2025
UK209357302482,,08/10/2025,,,,582.00,,,08/10/2025
UK209357303140,,08/10/2025,,,,502.00,,,08/10/2025
UK209357303147,,08/10/2025,,,,596.00,,,08/10/2025
UK209357303154,,08/10/2025,,,,532.00,,,08/10/2025
UK209357303182,,08/10/2025,,,,540.00,,,08/10/2025
UK209357402763,,08/10/2025,,,,480.00,,,08/10/2025
UK209357402770,,08/10/2025,,,,610.00,,,08/10/2025
UK209357403491,,08/10/2025,,,,524.00,,,08/10/2025
UK209357403519,,08/10/2025,,,,412.00,,,08/10/2025
UK209357403533,,08/10/2025,,,,506.00,,,08/10/2025
UK209357603150,,08/10/2025,,,,542.00,,,08/10/2025
UK209357603178,,08/10/2025,,,,560.00,,,08/10/2025
